packages/app/src/components/ArtifactList.tsx(132,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(134,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(135,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(139,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(142,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(151,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(152,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(154,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(155,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(156,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(156,56): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(157,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(157,30): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(158,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(158,61): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(161,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(161,34): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(162,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(162,70): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(165,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(166,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(169,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(183,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(184,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(187,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(189,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactList.tsx(190,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(98,17): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
packages/app/src/components/ArtifactsPanel.tsx(111,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(111,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
packages/app/src/components/ArtifactsPanel.tsx(113,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(114,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(116,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(116,60): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(117,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(119,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(120,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(124,11): error TS2322: Type '"chevron-down" | "chevron-up"' is not assignable to type '"stop" | "file" | "image" | "refresh" | "artifact" | "check" | "tool" | "code" | "server" | "share" | "task" | "mcp" | "warning" | "close" | "branch" | "review" | "browser" | "desktop" | ... 59 more ... | undefined'.
  Type '"chevron-up"' is not assignable to type '"stop" | "file" | "image" | "refresh" | "artifact" | "check" | "tool" | "code" | "server" | "share" | "task" | "mcp" | "warning" | "close" | "branch" | "review" | "browser" | "desktop" | ... 59 more ... | undefined'.
packages/app/src/components/ArtifactsPanel.tsx(129,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(133,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(136,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(138,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(139,25): error TS2322: Type '"file-pdf" | "file-image" | "file-code" | "file-text" | "file-json" | "file-markdown"' is not assignable to type '"stop" | "file" | "image" | "refresh" | "artifact" | "check" | "tool" | "code" | "server" | "share" | "task" | "mcp" | "warning" | "close" | "branch" | "review" | "browser" | "desktop" | ... 58 more ... | "workflow"'.
  Type '"file-pdf"' is not assignable to type '"stop" | "file" | "image" | "refresh" | "artifact" | "check" | "tool" | "code" | "server" | "share" | "task" | "mcp" | "warning" | "close" | "branch" | "review" | "browser" | "desktop" | ... 58 more ... | "workflow"'.
packages/app/src/components/ArtifactsPanel.tsx(140,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(143,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(144,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(144,89): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(145,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(146,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(146,60): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(148,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(148,62): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(150,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(151,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(154,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(159,23): error TS2322: Type '"eye"' is not assignable to type '"stop" | "file" | "image" | "refresh" | "artifact" | "check" | "tool" | "code" | "server" | "share" | "task" | "mcp" | "warning" | "close" | "branch" | "review" | "browser" | "desktop" | ... 59 more ... | undefined'.
packages/app/src/components/ArtifactsPanel.tsx(173,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
